bom	presence	edge	caller	provider	verb	path	caller_path	caller_interface	leg	component	severity	rule	violation_path	old	new	category	basis	excluded
1.35.1	declared	clouddriver-front50/9	clouddriver	front50	GET	/v2/tags	/_calls/front50/v2/tags	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$[*].tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.35.1	declared	clouddriver-front50/10	clouddriver	front50	POST	/v2/tags	/_calls/front50/v2/tags	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$.tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.35.1	declared	clouddriver-front50/12	clouddriver	front50	GET	/v2/tags/**	/_calls/front50/v2/tags/{id}	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$.tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.35.1	declared	clouddriver-front50/13	clouddriver	front50	POST	/v2/tags/batchUpdate	/_calls/front50/v2/tags/batchUpdate	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$[*].tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.35.1	declared	echo-igor/3	echo	igor	GET	/builds/artifacts/{buildNumber}/{master}	/_calls/igor/builds/artifacts/{buildNumber}/{master}	com.netflix.spinnaker.echo.services.IgorService	request	params	BREAK	REQ.2	$.params.job	optional string	required string	real inconsistency	declared: the provider requires params.job; the caller declares it optional (a Retrofit @Query/@Header is omitted when null; G1 decisions.md 5)	yes
1.35.1	declared	echo-igor/5	echo	igor	GET	/builds/properties/{buildNumber}/{fileName}/{master}	/_calls/igor/builds/properties/{buildNumber}/{fileName}/{master}	com.netflix.spinnaker.echo.services.IgorService	request	params	BREAK	REQ.2	$.params.job	optional string	required string	real inconsistency	declared: the provider requires params.job; the caller declares it optional (a Retrofit @Query/@Header is omitted when null; G1 decisions.md 5)	yes
1.35.1	declared	echo-igor/7	echo	igor	GET	/builds/status/{buildNumber}/{master}	/_calls/igor/builds/status/{buildNumber}/{master}	com.netflix.spinnaker.echo.services.IgorService	request	params	BREAK	REQ.2	$.params.job	optional string	required string	real inconsistency	declared: the provider requires params.job; the caller declares it optional (a Retrofit @Query/@Header is omitted when null; G1 decisions.md 5)	yes
1.35.1	declared	echo-igor/9	echo	igor	PUT	/gcb/artifacts/extract/{account}	/_calls/igor/gcb/artifacts/extract/{account}	com.netflix.spinnaker.echo.services.IgorService	request	body	BREAK	kind-mismatch	$.body	object(open){}	string	projection defect	@RequestBody String: Spring reads the raw text of any payload into it, and the document declares a JSON string, so the caller's object(open){} is refused	yes
1.35.1	declared	echo-igor/10	echo	igor	PUT	/gcb/builds/{account}/{buildId}	/_calls/igor/gcb/builds/{account}/{buildId}	com.netflix.spinnaker.echo.services.IgorService	request	body	BREAK	kind-mismatch	$.body	object(open){}	string	projection defect	@RequestBody String: Spring reads the raw text of any payload into it, and the document declares a JSON string, so the caller's object(open){} is refused	yes
1.35.1	declared	echo-orca/3	echo	orca	GET	/pipelines	/_calls/orca/pipelines	com.netflix.spinnaker.echo.pipelinetriggers.orca.OrcaService	request	params	BREAK	kind-mismatch	$.params.pipelineConfigIds	array(string)	string	projection defect	query parameter arity: array(string) against string; Spring binds repeated or comma-separated values to both a String and a List parameter, and the extractor types parameters by their Java type (G1 decisions.md 8)	yes
