bom	presence	edge	caller	provider	verb	path	caller_path	caller_interface	leg	component	severity	rule	violation_path	old	new	category	basis	excluded
1.32.1	declared	clouddriver-front50/9	clouddriver	front50	GET	/v2/tags	/_calls/front50/v2/tags	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$[*].tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.32.1	declared	clouddriver-front50/10	clouddriver	front50	POST	/v2/tags	/_calls/front50/v2/tags	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$.tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.32.1	declared	clouddriver-front50/12	clouddriver	front50	GET	/v2/tags/**	/_calls/front50/v2/tags/{id}	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$.tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.32.1	declared	clouddriver-front50/13	clouddriver	front50	POST	/v2/tags/batchUpdate	/_calls/front50/v2/tags/batchUpdate	com.netflix.spinnaker.clouddriver.core.services.Front50Service	response	response	BREAK	enum-response-widening	$[*].tags[*].valueType	enum{literal,object}	string	real inconsistency	declared: the provider returns string where the caller enumerates enum{literal,object}	yes
1.32.1	declared	echo-igor/9	echo	igor	PUT	/gcb/artifacts/extract/{account}	/_calls/igor/gcb/artifacts/extract/{account}	com.netflix.spinnaker.echo.services.IgorService	request	body	BREAK	kind-mismatch	$.body	object(open){}	string	projection defect	@RequestBody String: Spring reads the raw text of any payload into it, and the document declares a JSON string, so the caller's object(open){} is refused	yes
1.32.1	declared	echo-igor/10	echo	igor	PUT	/gcb/builds/{account}/{buildId}	/_calls/igor/gcb/builds/{account}/{buildId}	com.netflix.spinnaker.echo.services.IgorService	request	body	BREAK	kind-mismatch	$.body	object(open){}	string	projection defect	@RequestBody String: Spring reads the raw text of any payload into it, and the document declares a JSON string, so the caller's object(open){} is refused	yes
1.32.1	declared	echo-orca/3	echo	orca	GET	/pipelines	/_calls/orca/pipelines	com.netflix.spinnaker.echo.pipelinetriggers.orca.OrcaService	request	params	BREAK	kind-mismatch	$.params.pipelineConfigIds	array(string)	string	projection defect	query parameter arity: array(string) against string; Spring binds repeated or comma-separated values to both a String and a List parameter, and the extractor types parameters by their Java type (G1 decisions.md 8)	yes
1.32.1	declared	fiat-clouddriver/2	fiat	clouddriver	GET	/credentials	/_calls/clouddriver/credentials	com.netflix.spinnaker.fiat.providers.internal.ClouddriverApi	request	params	BREAK	REQ.1	$.params	<absent>	object(open){expand*:string}	projection defect	clouddriver-web CredentialsController.listAccountCredentials(@RequestParam Optional<Boolean> expand): an Optional parameter is optional in Spring and typed by its argument; the document has a required string	yes
1.32.1	declared	front50-echo/1	front50	echo	POST	/	/_calls/echo/	com.netflix.spinnaker.front50.echo.EchoService	response	response	BREAK	presence-mismatch	$	string	<nil>	real inconsistency	declared: the caller reads a string body; the provider sends none (echo-web HistoryController.saveHistory(@RequestBody Event): void)	yes
1.32.1	declared	gate-clouddriver/1	gate	clouddriver	GET	/applications	/_calls/clouddriver/applications	com.netflix.spinnaker.gate.services.internal.ClouddriverService	response	response	BREAK	kind-mismatch	$	object(open){}	array(object(open){attributes:map(string,string), clusterNames:map(string,array(string)), name:string})	checker limitation	an untyped side (D5: an open object) of another JSON kind: object(open){} vs array(object(open){attributes:map(string,string), clusterNames:map(string,array(string)), name:string}); the leg is vacuous under the D5 ruling, which assumed such a leg can only pass	yes
1.32.1	declared	gate-clouddriver/3	gate	clouddriver	GET	/applications/{application}/clusters	/_calls/clouddriver/applications/{name}/clusters	com.netflix.spinnaker.gate.services.internal.ClouddriverService	response	response	BREAK	kind-mismatch	$	object(open){}	map(string,array(string))	checker limitation	object against map: object(open){} vs map(string,array(string)); a JSON object either way, the checker compares kinds	yes
1.32.1	declared	gate-clouddriver/4	gate	clouddriver	GET	/applications/{application}/clusters/{account}	/_calls/clouddriver/applications/{name}/clusters/{account}	com.netflix.spinnaker.gate.services.internal.ClouddriverService	response	response	BREAK	kind-mismatch	$	object(open){}	array(object(open){account:string, loadBalancers:array(string), moniker:object(open){cluster:string, detail:string, sequence:integer(int32), stack:string, app:string}, name:string, serverGroups:array(string)})	checker limitation	an untyped side (D5: an open object) of another JSON kind: object(open){} vs array(object(open){account:string, loadBalancers:array(string), moniker:object(open){cluster:string, detail:string, sequence:integer(int32), stack:string, app:string}, name:string, serverGroups:array(string)}); the leg is vacuous under the D5 ruling, which assumed such a leg can only pass	yes
